No. Doc,Código,Detalle,Costo,Venta,Utilidad
25056,1000,tapa registro pinpinov 20*20,4.208,900,-3.308
29774,1000,tapa registro pinpinov 20*20,4.208,6.000,1.792
24256,1001,pala colima boyaca 686,12.300,15.000,2.700
25933,1001,pala colima boyaca 686,12.300,15.000,2.700
26202,1002,silicona pegadit policarbonato 280,17.112,21.000,3.888
23861,1002,silicona pegadit policarbonato 280,17.112,21.000,3.888
22943,1002,silicona pegadit policarbonato 280,17.112,21.000,3.888
29950,1002,silicona pegadit policarbonato 280,17.112,21.000,3.888
28826,1002,silicona pegadit policarbonato 280,17.112,20.000,2.888
27945,1004,cuchilla guadaña pulida 352425p,7.300,9.500,2.200
30839,1004,cuchilla guadaña pulida 352425p,9.200,9.500,300
26336,1004,cuchilla guadaña pulida 352425p,7.300,9.000,1.700
19399,1004,cuchilla guadaña pulida 352425p,14.600,18.000,3.400
26847,1005,flexometro bellota basic 50030 8mt,19.189,23.000,3.811
19920,1005,flexometro bellota basic 50030 8mt,16.157,20.000,3.843
22830,1005,flexometro bellota basic 50030 8mt,19.189,23.000,3.811
23299,1005,flexometro bellota basic 50030 8mt,19.189,23.000,3.811
21860,1005,flexometro bellota basic 50030 8mt,16.157,20.000,3.843
22569,1006,martillo 8001 bellota pulido 31mm,26.550,32.000,5.450
22877,1007,brocha bellota pro1,1.950,2.500,550
24323,1007,brocha bellota pro1,1.950,2.500,550
26696,1007,brocha bellota pro1,1.950,2.500,550
26637,1007,brocha bellota pro1,1.950,2.500,550
26556,1007,brocha bellota pro1,1.950,2.500,550
26064,1007,brocha bellota pro1,1.950,2.500,550
29929,1007,brocha bellota pro1,1.950,2.500,550
28415,1007,brocha bellota pro1,1.950,2.500,550
19705,1008,brocha bellota pro 1 1/2,2.450,3.000,550
19882,1008,brocha bellota pro 1 1/2,2.450,3.000,550
19990,1008,brocha bellota pro 1 1/2,2.450,3.000,550
20780,1008,brocha bellota pro 1 1/2,2.450,3.000,550
25823,1008,brocha bellota pro 1 1/2,2.450,3.000,550
26683,1008,brocha bellota pro 1 1/2,4.900,6.000,1.100
27785,1008,brocha bellota pro 1 1/2,2.100,3.000,900
22465,1008,brocha bellota pro 1 1/2,2.450,3.000,550
23049,1008,brocha bellota pro 1 1/2,2.450,3.000,550
23617,1008,brocha bellota pro 1 1/2,2.450,3.000,550
28401,1008,brocha bellota pro 1 1/2,2.100,3.000,900
27986,1008,brocha bellota pro 1 1/2,2.100,3.000,900
29055,1008,brocha bellota pro 1 1/2,2.100,3.000,900
27840,1009,brocha bellota pro 2,7.710,9.600,1.890
27743,1009,brocha bellota pro 2,3.855,4.800,945
26152,1009,brocha bellota pro 2,3.855,4.800,945
25323,1009,brocha bellota pro 2,3.855,4.800,945
26506,1009,brocha bellota pro 2,3.855,4.800,945
26169,1009,brocha bellota pro 2,3.855,4.800,945
27068,1009,brocha bellota pro 2,3.855,4.800,945
20659,1009,brocha bellota pro 2,3.511,4.200,690
20036,1009,brocha bellota pro 2,3.511,4.200,690
19662,1009,brocha bellota pro 2,3.511,4.200,690
19619,1009,brocha bellota pro 2,3.511,4.200,690
19705,1009,brocha bellota pro 2,3.511,4.200,690
19636,1009,brocha bellota pro 2,3.511,4.200,690
19416,1009,brocha bellota pro 2,3.511,4.200,690
23735,1009,brocha bellota pro 2,3.855,4.800,945
24165,1009,brocha bellota pro 2,3.855,4.800,945
22751,1009,brocha bellota pro 2,3.855,4.200,345
23109,1009,brocha bellota pro 2,3.855,4.800,945
23361,1009,brocha bellota pro 2,3.855,4.800,945
29426,1009,brocha bellota pro 2,3.974,4.800,826
30732,1009,brocha bellota pro 2,3.974,4.800,826
28237,1009,brocha bellota pro 2,3.855,4.800,945
28559,1009,brocha bellota pro 2,7.710,9.600,1.890
28633,1009,brocha bellota pro 2,3.974,4.800,826
29485,1010,martillo bellota 8001-bp 27mm 15 onz,18.547,23.000,4.453
29360,10100,rejilla plana aluminio de 3*2 pulg,3.150,6.000,2.850
29564,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
28534,10100,rejilla plana aluminio de 3*2 pulg,80.000,80.000,0
28493,10100,rejilla plana aluminio de 3*2 pulg,2.000,2.000,0
29967,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
30031,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
29177,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
28972,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
29215,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
28147,10100,rejilla plana aluminio de 3*2 pulg,4.000,4.000,0
27961,10100,rejilla plana aluminio de 3*2 pulg,2.000,2.000,0
27900,10100,rejilla plana aluminio de 3*2 pulg,4.000,4.000,0
30601,10100,rejilla plana aluminio de 3*2 pulg,5.600,8.000,2.400
30668,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
27119,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
27011,10100,rejilla plana aluminio de 3*2 pulg,14.000,18.000,4.000
27393,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
27363,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
25535,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
25486,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
25946,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26496,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
26280,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26383,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26256,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26431,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
26478,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
26989,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26859,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
26688,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
25071,10100,rejilla plana aluminio de 3*2 pulg,4.200,6.000,1.800
20681,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.500,1.100
20584,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
20464,10100,rejilla plana aluminio de 3*2 pulg,2.100,4.000,1.900
21155,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21097,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21010,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21687,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21669,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21351,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23192,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23255,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
23257,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23192,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23960,10100,rejilla plana aluminio de 3*2 pulg,5.600,8.000,2.400
24291,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
21962,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23703,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
22843,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
22989,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
22836,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
22179,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
22243,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
24808,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
29956,10101,chupa sanitario,1.500,4.000,2.500
29041,10101,chupa sanitario,1.500,4.000,2.500
30983,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
31032,10102,toma doble con polo galica2 luminex 15a,22.608,27.200,4.592
30710,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
29608,10102,toma doble con polo galica2 luminex 15a,22.608,27.200,4.592
29706,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
27871,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
28177,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
27626,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
27201,10102,toma doble con polo galica2 luminex 15a,28.260,34.000,5.740
27140,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
25702,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
26659,10102,toma doble con polo galica2 luminex 15a,27.000,34.000,7.000
26860,10102,toma doble con polo galica2 luminex 15a,54.000,68.000,14.000
26101,10102,toma doble con polo galica2 luminex 15a,32.400,40.800,8.400
21546,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
21695,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
21577,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
20458,10102,toma doble con polo galica2 luminex 15a,16.200,20.400,4.200
20201,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
21174,10102,toma doble con polo galica2 luminex 15a,10.800,13.600,2.800
21111,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
21317,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
20918,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
21195,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
19673,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
19617,10102,toma doble con polo galica2 luminex 15a,27.000,32.500,5.500
19677,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
19706,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
20727,10102,toma doble con polo galica2 luminex 15a,10.800,13.600,2.800
20726,10102,toma doble con polo galica2 luminex 15a,10.800,13.600,2.800
20823,10102,toma doble con polo galica2 luminex 15a,10.800,13.600,2.800
20683,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
21754,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
21792,10102,toma doble con polo galica2 luminex 15a,43.200,54.400,11.200
23167,10102,toma doble con polo galica2 luminex 15a,10.800,13.600,2.800
22234,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
23534,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
23501,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
23746,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
22643,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
22881,10102,toma doble con polo galica2 luminex 15a,5.400,6.800,1.400
22659,10103,arbol salida grival nuki,15.475,22.000,6.525
22806,10103,arbol salida grival nuki,15.475,22.000,6.525
24608,10103,arbol salida grival nuki,18.129,22.000,3.871
23653,10103,arbol salida grival nuki,18.129,22.000,3.871
23703,10103,arbol salida grival nuki,18.129,22.000,3.871
23130,10103,arbol salida grival nuki,30.950,42.000,11.050
30735,10103,arbol salida grival nuki,18.129,22.000,3.871
29065,10103,arbol salida grival nuki,18.129,22.000,3.871
28802,10103,arbol salida grival nuki,18.129,22.000,3.871
28767,10103,arbol salida grival nuki,18.129,22.000,3.871
29283,10103,arbol salida grival nuki,18.129,21.000,2.871
30363,10103,arbol salida grival nuki,18.129,22.000,3.871
26787,10103,arbol salida grival nuki,18.129,22.000,3.871
26350,10103,arbol salida grival nuki,36.257,44.000,7.743
20499,10103,arbol salida grival,15.475,22.000,6.525
19328,10103,arbol salida grival,50.662,66.000,15.338
19901,10103,arbol salida grival,16.887,22.000,5.113
20175,10103,arbol salida grival,16.887,22.000,5.113
20220,10103,arbol salida grival,16.887,22.000,5.113
23131,10104,toma doble con polo ceb platino,6.800,8.400,1.600
23358,10104,toma doble con polo ceb platino,17.000,21.000,4.000
23205,10104,toma doble con polo ceb platino,47.600,58.800,11.200
23033,10104,toma doble con polo ceb platino,17.000,21.000,4.000
22710,10104,toma doble con polo ceb platino,10.200,12.600,2.400
22727,10104,toma doble con polo ceb platino,40.800,50.400,9.600
22128,10104,toma doble con polo ceb platino,3.400,4.200,800
24010,10104,toma doble con polo ceb platino,3.400,4.200,800
23774,10104,toma doble con polo ceb platino,3.400,4.200,800
23823,10104,toma doble con polo ceb platino,34.000,42.000,8.000
24778,10104,toma doble con polo ceb platino,3.400,4.200,800
24549,10104,toma doble con polo ceb platino,17.000,21.000,4.000
24826,10104,toma doble con polo ceb platino,6.800,8.400,1.600
30219,10104,toma doble con polo ceb platino,36.000,42.000,6.000
30588,10104,toma doble con polo ceb platino,10.800,12.600,1.800
30410,10104,toma doble con polo ceb platino,3.600,4.200,600
30581,10104,toma doble con polo ceb platino,14.400,16.800,2.400
28929,10104,toma doble con polo ceb platino,25.550,29.400,3.850
29223,10104,toma doble con polo ceb platino,3.600,4.200,600
29136,10104,toma doble con polo ceb platino,50.400,58.800,8.400
29203,10104,toma doble con polo ceb platino,7.200,8.400,1.200
29200,10104,toma doble con polo ceb platino,25.200,29.400,4.200
29100,10104,toma doble con polo ceb platino,3.650,4.200,550
28088,10104,toma doble con polo ceb platino,10.200,12.600,2.400
28023,10104,toma doble con polo ceb platino,37.400,46.200,8.800
27904,10104,toma doble con polo ceb platino,3.400,4.200,800
28305,10104,toma doble con polo ceb platino,3.400,4.200,800
27998,10104,toma doble con polo ceb platino,6.800,8.400,1.600
30681,10104,toma doble con polo ceb platino,3.600,4.200,600
31018,10104,toma doble con polo ceb platino,43.200,50.400,7.200
30641,10104,toma doble con polo ceb platino,10.800,12.600,1.800
31038,10104,toma doble con polo ceb platino,10.800,12.600,1.800
29237,10104,toma doble con polo ceb platino,3.600,4.200,600
29679,10104,toma doble con polo ceb platino,10.800,12.600,1.800
29368,10104,toma doble con polo ceb platino,3.600,4.200,600
28448,10104,toma doble con polo ceb platino,73.000,82.000,9.000
28663,10104,toma doble con polo ceb platino,3.650,4.200,550
28318,10104,toma doble con polo ceb platino,3.400,4.200,800
29726,10104,toma doble con polo ceb platino,3.600,4.200,600
29830,10104,toma doble con polo ceb platino,18.000,21.000,3.000
26300,10104,toma doble con polo ceb platino,10.200,12.600,2.400
27684,10104,toma doble con polo ceb platino,13.600,18.000,4.400
27703,10104,toma doble con polo ceb platino,20.400,25.200,4.800
27414,10104,toma doble con polo ceb platino,3.400,4.200,800
27529,10104,toma doble con polo ceb platino,102.000,123.000,21.000
26982,10104,toma doble con polo ceb platino,68.000,84.000,16.000
26841,10104,toma doble con polo ceb platino,3.400,4.200,800
26948,10104,toma doble con polo ceb platino,91.800,113.400,21.600
25582,10104,toma doble con polo ceb platino,34.000,42.000,8.000
26010,10104,toma doble con polo ceb platino,54.400,67.200,12.800
26018,10104,toma doble con polo ceb platino,13.600,16.800,3.200
26033,10104,toma doble con polo ceb platino,54.400,67.200,12.800
25979,10104,toma doble con polo ceb platino,3.400,4.200,800
26080,10104,toma doble con polo ceb platino,17.000,21.000,4.000
26127,10104,toma doble con polo ceb platino,34.000,42.000,8.000
25944,10104,toma doble con polo ceb platino,74.800,88.000,13.200
19927,10104,toma doble con polo ceb platino,3.400,4.200,800
19927,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
20011,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
20167,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
20855,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
19462,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
21265,10105,interruptor sencillo conm ceb-castools,9.800,12.800,3.000
29726,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.200,800
29734,10105,interruptor sencillo conm ceb-castools-intime,4.800,6.400,1.600
30061,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.200,800
28088,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.500,1.100
28023,10105,interruptor sencillo conm ceb-castools-intime,16.800,22.400,5.600
27998,10105,interruptor sencillo conm ceb-castools-intime,4.800,6.400,1.600
30588,10105,interruptor sencillo conm ceb-castools-intime,2.600,3.200,600
30452,10105,interruptor sencillo conm ceb-castools-intime,5.200,6.400,1.200
30581,10105,interruptor sencillo conm ceb-castools-intime,10.400,12.800,2.400
29223,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.200,800
29200,10105,interruptor sencillo conm ceb-castools-intime,14.400,19.200,4.800
29175,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.200,800
28448,10105,interruptor sencillo conm ceb-castools-intime,9.600,12.800,3.200
31038,10105,interruptor sencillo conm ceb-castools-intime,13.000,16.000,3.000
29679,10105,interruptor sencillo conm ceb-castools-intime,4.800,6.400,1.600
29663,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.200,800
29335,10105,interruptor sencillo conm ceb-castools-intime,24.000,32.000,8.000
29237,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.200,800
22406,10105,interruptor sencillo conm ceb-castools,4.900,6.400,1.500
22451,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
22138,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
23150,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
23131,10105,interruptor sencillo conm ceb-castools,4.900,6.400,1.500
23274,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
23205,10105,interruptor sencillo conm ceb-castools,14.700,19.200,4.500
23259,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
23358,10105,interruptor sencillo conm ceb-castools,7.350,9.600,2.250
23288,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
23240,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
22711,10105,interruptor sencillo conm ceb-castools,4.900,6.400,1.500
22675,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
22710,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
24708,10105,interruptor sencillo conm ceb-castools,7.350,9.600,2.250
24549,10105,interruptor sencillo conm ceb-castools,4.900,6.400,1.500
23443,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
23486,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
23823,10105,interruptor sencillo conm ceb-castools,12.250,16.000,3.750
23663,10105,interruptor sencillo conm ceb-castools,2.450,3.200,750
25979,10105,interruptor sencillo conm ceb-castools,2.400,3.200,800
26080,10105,interruptor sencillo conm ceb-castools,12.000,16.000,4.000
26033,10105,interruptor sencillo conm ceb-castools,28.800,38.400,9.600
25944,10105,interruptor sencillo conm ceb-castools,72.000,90.000,18.000
26010,10105,interruptor sencillo conm ceb-castools,14.400,19.200,4.800
27361,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.200,800
25582,10105,interruptor sencillo conm ceb-castools,14.400,19.200,4.800
27684,10105,interruptor sencillo conm ceb-castools-intime,7.200,10.500,3.300
27797,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.500,1.100
27762,10105,interruptor sencillo conm ceb-castools-intime,2.400,3.200,800
27703,10105,interruptor sencillo conm ceb-castools-intime,14.400,19.200,4.800
26948,10105,interruptor sencillo conm ceb-castools-intime,19.200,25.600,6.400
26860,10105,interruptor sencillo conm ceb-castools-intime,19.200,25.600,6.400
23167,10106,interruptor+toma con polo galica2,7.800,9.300,1.500
22414,10106,interruptor+toma con polo galica2,7.800,9.300,1.500
21792,10106,interruptor+toma con polo galica2,31.200,37.200,6.000
20571,10106,interruptor+toma con polo galica2,7.800,9.300,1.500
26659,10106,interruptor+toma con polo galica2,7.800,9.300,1.500
26452,10106,interruptor+toma con polo galica2,7.800,9.300,1.500
27354,10106,interruptor+toma con polo galica2,7.800,9.300,1.500
27385,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
27170,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
26033,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
27421,10107,taco 1x15 amp enchu luminex,21.400,25.000,3.600
25527,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
21797,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
21832,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
23763,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
24636,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
24252,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
22965,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
30417,10107,taco 1x15 amp enchu luminex,21.600,25.000,3.400
28026,10107,taco 1x15 amp enchu luminex,21.600,25.000,3.400
28955,10107,taco 1x15 amp enchu luminex,10.800,12.500,1.700
29223,10107,taco 1x15 amp enchu luminex,10.800,12.500,1.700
20458,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
20930,10107,taco 1x15 amp enchu luminex,10.700,12.500,1.800
21482,10108,taco 1x60 amp enchu luminex,8.500,13.500,5.000
23763,10108,taco 1x60 amp enchu luminex,8.500,13.500,5.000
25632,10108,taco 1x60 amp enchu luminex,8.500,13.500,5.000
28847,10108,taco 1x60 amp enchu luminex,8.500,13.500,5.000
28203,10108,taco 1x60 amp enchu luminex,8.500,13.500,5.000
25432,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
25527,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
25701,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
27229,10109,taco 1x20 amp enchu luminex,11.000,12.500,1.500
27385,10109,taco 1x20 amp enchu luminex,11.000,12.500,1.500
27291,10109,taco 1x20 amp enchu luminex,11.000,12.500,1.500
27328,10109,taco 1x20 amp enchu luminex,55.000,62.500,7.500
27170,10109,taco 1x20 amp enchu luminex,11.000,12.500,1.500
26728,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
26948,10109,taco 1x20 amp enchu luminex,22.000,25.000,3.000
26659,10109,taco 1x20 amp enchu luminex,21.600,25.000,3.400
26721,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
27421,10109,taco 1x20 amp enchu luminex,22.000,25.000,3.000
26374,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
26101,10109,taco 1x20 amp enchu luminex,21.600,25.000,3.400
26033,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
25944,10109,taco 1x20 amp enchu luminex,108.000,125.000,17.000
20930,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
20625,10109,taco 1x20 amp enchu luminex,21.400,25.000,3.600
19684,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
19684,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
19673,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
21371,10109,taco 1x20 amp enchu luminex,32.100,37.500,5.400
19315,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
20458,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
20293,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
21832,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
21797,10109,taco 1x20 amp enchu luminex,10.700,12.500,1.800
23259,10109,taco 1x20 amp enchu luminex,21.600,25.000,3.400
22965,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
22767,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
23956,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
24252,10109,taco 1x20 amp enchu luminex,21.600,25.000,3.400
24636,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
24403,10109,taco 1x20 amp enchu luminex,10.800,12.500,1.700
28203,10109,taco 1x20 amp enchu luminex,11.000,12.500,1.500
28026,10109,taco 1x20 amp enchu luminex,33.000,37.500,4.500
29606,10109,taco 1x20 amp enchu luminex,22.000,25.000,3.000
28955,10109,taco 1x20 amp enchu luminex,11.000,12.500,1.500
28847,10109,taco 1x20 amp enchu luminex,22.000,25.000,3.000
29201,10109,taco 1x20 amp enchu luminex,11.000,12.500,1.500
29136,10109,taco 1x20 amp enchu luminex,22.000,25.000,3.000
29223,10109,taco 1x20 amp enchu luminex,22.000,25.000,3.000
30873,10109,taco 1x20 amp enchu luminex,44.400,50.000,5.600
23335,1011,palustre bellota 5847-6mm,8.181,10.500,2.319
19911,1011,palustre bellota 5847-6mm,8.181,10.500,2.319
19673,10110,taco 1x30 amp enchu luminex,10.600,12.500,1.900
19823,10110,taco 1x30 amp enchu luminex,10.600,12.500,1.900
20625,10110,taco 1x30 amp enchu luminex,10.600,12.500,1.900
20032,10110,taco 1x30 amp enchu luminex,21.200,25.000,3.800
20293,10110,taco 1x30 amp enchu luminex,10.600,12.500,1.900
20458,10110,taco 1x30 amp enchu luminex,10.600,12.500,1.900
20079,10110,taco 1x30 amp enchu luminex,21.200,25.000,3.800
20041,10110,taco 1x30 amp enchu luminex,10.600,12.500,1.900
19549,10110,taco 1x30 amp enchu luminex,10.600,12.500,1.900
23126,10110,taco 1x30 amp enchu luminex,11.200,12.500,1.300
23259,10110,taco 1x30 amp enchu luminex,22.400,25.000,2.600
23137,10110,taco 1x30 amp enchu luminex,22.400,25.000,2.600
24436,10110,taco 1x30 amp enchu luminex,11.200,12.500,1.300
24403,10110,taco 1x30 amp enchu luminex,11.200,12.500,1.300
23956,10110,taco 1x30 amp enchu luminex,11.200,12.500,1.300
27291,10110,taco 1x30 amp enchu luminex,10.900,12.500,1.600
25701,10110,taco 1x30 amp enchu luminex,11.200,12.500,1.300
26416,10110,taco 1x30 amp enchu luminex,11.200,12.500,1.300
26374,10110,taco 1x30 amp enchu luminex,22.400,25.000,2.600
26948,10110,taco 1x30 amp enchu luminex,10.900,12.500,1.600
26890,10110,taco 1x30 amp enchu luminex,32.700,37.500,4.800
26917,10110,taco 1x30 amp enchu luminex,10.900,12.500,1.600
28203,10110,taco 1x30 amp enchu luminex,10.900,12.500,1.600
29873,10110,taco 1x30 amp enchu luminex,11.100,12.500,1.400
30023,10110,taco 1x30 amp enchu luminex,22.200,25.000,2.800
30123,10110,taco 1x30 amp enchu luminex,22.200,25.000,2.800
29123,10110,taco 1x30 amp enchu luminex,21.800,25.000,3.200
29201,10110,taco 1x30 amp enchu luminex,10.900,12.500,1.600
28847,10110,taco 1x30 amp enchu luminex,21.800,25.000,3.200
29516,10110,taco 1x30 amp enchu luminex,11.100,12.500,1.400
24252,10111,taco 1x40 amp enchu luminex,11.200,12.500,1.300
22523,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
23883,10111,taco 1x40 amp enchu luminex,11.200,12.500,1.300
21980,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
23138,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
23282,10111,taco 1x40 amp enchu luminex,11.200,12.500,1.300
23056,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
23126,10111,taco 1x40 amp enchu luminex,21.400,25.000,3.600
22636,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
22965,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
19323,10111,taco 1x40 amp enchu luminex,21.400,25.000,3.600
20747,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
19823,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
21211,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
20293,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
20079,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
21371,10111,taco 1x40 amp enchu luminex,10.700,12.500,1.800
26890,10111,taco 1x40 amp enchu luminex,11.200,12.500,1.300
26948,10111,taco 1x40 amp enchu luminex,22.000,25.000,3.000
26918,10111,taco 1x40 amp enchu luminex,11.200,12.500,1.300
